1,Amieeeeeeeel,My generalization after MDS's forum in UPLB:""Miriam's hair is like a goddamn cotton candy. Srsly.""
2,JulsIgleshie,"Glue ka ba? Baka pwede mo namang i-fix yung broken heart ko.""-Miriam - UPLB, 2016 HIHIHI ANG FUNNY NIYA TALAGA &lt;3 #MDS
3,onkeybum_,Naisip ko while reading updates about MDS in UPLB. Ang ganda siguro at mas maliliwanagan ka sa issues kapag election period eh nasa school
4,JohnNicholo,Sana nagpunta nalang ako ng UPLB para makista si Sen. MDS
5,CANOneous,Hello Senator MDS. <ed><U+00A0><U+00BD><ed><U+00B2><U+0099><ed><U+00A0><U+00BD><ed><U+00B8><U+0084>  #BUKLODxMDS #MiriamVisitsUPLB @ UPLB Baker Hall https://t.co/c1HTtFGnGI
6,josephbryan24,"Number 3. Moral Excellence... Meron ba sila noon?""- Sen. MDSUPLB welcomed The Iron Lady ofﾅ https://t.co/7A65n68OU0
7,Ijoshuant_you,#MDS@UPLB https://t.co/s1sEbI0QZl
8,ptrcdnsha_,Watching MDS at UPLB just breaks my heart. Bakit sobrang loyal mo po sa alma mater mo <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>
9,BilangPilipino,MDS pickup lines in UPLB : Anong brand ng ballpen mo? Hindi ka kasi mabura sa isp ko. | via @faithdelmundo #BilangPilipino
10,faithdelmundo,MDS pickuplines in UPLB :Kung pwd pa arrange mo ang alphabet para magkadikit ang U and I. #BilangPilipino @News5AKSYON
11,faithdelmundo,MDS pickuplines in UPLB : Anong brand ng ballpen mo? Hindi ka kasi mabura sa isp ko. #BilangPilipino @News5AKSYON
12,faithdelmundo,MDS pickuplines in UPLB: Kung letter ako, T or V na lang sana para Iagi ako right next to U. #BilangPilipino @News5AKSYON
13,faithdelmundo,MDS in UPLB: Yung mga nag-I promise to do this, to do that pero kung tingnan ang track record wala pa silang nagawa. #BilangPilipino
14,Amb_rty,Yung mas matagal pa ata yung pagplay ng mga AVPs kesa sa speech ni @senmiriam :(((( Anyway, thanks for bringing MDS to UPLB, Buklod.
15,Jeric12Nares,The campus queen strikes again. MDS now @UPLB. Now trending on tweeter #MiriamUtakAtPuso, Currently at rank 5. Keep tweeting folks.
16,itsme_dianna,https://t.co/iUyIrKL1fE ATM Sen. MDS in UPLB live streaming #MiriamUtakAtPuso #MiriamVisitsUPLB #MiriamForPresident
17,imsupereli,game 2 &gt; klase at mds in uplb
18,eyabigan,NO open forum for UPLB's The Forum with MDS  #PHVote #MiriamVisitsUPLB
19,tomokawaiix,MDS at UPLB. i tot ""The Forum"" dapat ""The Speech"" #MiriamUtakAtPuso #MiriamVisitsUPLB
20,dlcdnllc,MDS: Ladies and gentlemen, UPLB. Please help me in this march to truth. #MiriamVisitsUPLB
21,erin_cuenco,MDS!!!! <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> Thank you, UPLB ITC! #MDS2016 #SiMiriamAngSagot
22,eyabigan,MDS arrives at Baker Hall, UPLB. Crowd cheers ""Si Miriam ang sagot!!"" #PHVote #MiriamVisitsUPLB #MiriamUtakAtPuso https://t.co/rNUtEfyqkP
23,danajeantaps,Kasing-init daw ng baker hall ang pagtanggap ng uplb students kay MDS hahaha
24,iambadjuju,ANDITO NA SI MDS SA UPLB! #MIRIAM2016
25,KeepOnTroyin,MDS ON UPLB! #MiriamUtakAtPuso
26,dexkolokoy,napaghandaan talaga ng uplb ang pagdating ni MDS  https://t.co/3GpFxkfDzu
27,sptorre,#MiriamUtakAtPuso Sana merong livestream yung event ni Pres. MDS sa UPLB
28,elainederamos,Miriam in UPLB <ed><U+00AE><U+00B8><ed><U+00BC><U+00B5> sayang lang diko maririnig mag talk si MDS ng live!
29,NatGiooow,Ganito pala tao ngayon sa UPLB. Haha. #MDS https://t.co/Xir9EBxv3r
30,ptrcktndr,Me having classes while MDS is in UPLB#MiriamUtakAtPuso#LagunaIs4Miriam https://t.co/aPtsjMZ5UO
31,yiechay,earlier MDS on UPLB https://t.co/xNrVNzHHfK
32,TebiTebiPo,Kakainggit! <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD> no doubt hihi 86% in UPLB would vote for MDS <ed><U+00A0><U+00BD><ed><U+00B2><U+0095> #SiMiriamAngSagot  https://t.co/EyiZOqu0q3
33,esquerubin,Watching the live stream of MDS in UPLB at https://t.co/cEHEsi7HP6#MiriamUtakAtPuso #MIRIAM2016
34,markteeth,MDS in UPLB livestreaming bec mainit sa baker hall
35,JanilleRochelV,MDS na later sa UPLB <ed><U+00A0><U+00BD><ed><U+00B8><U+00A2> Bakit di ako makakapuntaaaa
36,TheAstroNerd29,https://t.co/8SLNX72mze - live streaming from the UPLB MDS forum mamya. Cheers! #LagunaIs4Miriam #MiriamUtakatPuso
37,JKimM18,MDS here in UPLB later. Cant watch tho <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>
38,kennethfrndo,MDS sa UPLB. Hayyy. Kaso kahit pamasahe wala ako. <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>
39,milinggayy,Daming ganap today.Civil War, MDS in UPLB, DLSU vs ADMU
40,cediementary,OTW to UPLB na raw po si Sen. MDS mga brad <ed><U+00A0><U+00BD><ed><U+00B8><U+0081>
41,ynganne,#MiriamUtakAtPuso #LagunaIs4Miriam ﾓ@kkarlathegreat: MDS' supporters waiting for The Forum. Here at UPLB. #PHVote https://t.co/3sccLaIRKTﾔ
42,kkarlathegreat,MDS' supporters waiting for The Forum. Here at UPLB. #PHVote https://t.co/qrE5QtkIhI
43,paomarciano,Gusto kong makita si MDS sa UPLB mamaya
44,cediementary,Sen. MDS will be here in UPLB in a bit and unfortunately, diko sya maaabutan because I will Mandaluyong myself. Iyaaac sayang yung chance <ed><U+00A0><U+00BD><ed><U+00B8><U+009E>
45,jiowho,MDS will be coming here at UPLB. I just hope the ~intellectuals~ won't patronize her.
46,akochachichu,Sen. MDS later at UPLB. Pwede po bang mag-half day? Parang di sapat ang livestream.
47,leshielann,I talked to a friend from UPLB and convinced her to accompany me to listen to MDS' forum at the Baker Hall, U. P.... https://t.co/xnY4DCFLSl
48,janyxregalo,#MDS is going to UPLB today. Someone needs to ask her why of all people she allied with BBM. #PHvote
49,polakomsay,MDS will be at Baker Hall, UPLB. I must not miss this one.
50,katemeow_,MDS is in UPLB tomorrow!! Who's with me fam? <U+2728>
51,Kaaaaaaaaaye,@cayloooooooo ANJAN DAW SA UPLB SI MDS BUKAAAS?!!!<ed><U+00A0><U+00BD><ed><U+00B8><U+00B1><ed><U+00A0><U+00BD><ed><U+00B8><U+00B1><ed><U+00A0><U+00BD><ed><U+00B8><U+00B1><ed><U+00A0><U+00BD><ed><U+00B8><U+00B1><ed><U+00A0><U+00BD><ed><U+00B8><U+00B1>
52,belenjubail,Si MDS nasa UPLB bukas. <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD> @MaryClairePH @eighjim
53,lynegervacio,So excited for tomorrow! MDS is coming to UPLB. Can't wait to witness her personally. :))) #SiMiriamAngSagot #miriamday
54,marlooooonQ,MDS will be at UPLB tomorrow. Let's see kung magkaka issues. Hahaha.
55,JoyceAireen,Opo, nasa UPLB si MDS bukas. Gusto ko pong pumunta po. Ayaw po akong payagan umalis. Bakit po ganun? Huhuhuhu <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>
56,pauline_jpvb,Someone take me to UPLB tmr. I wanna hear and witness MDS. <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>
57,chloie_tien,Nasa UPLB pala si Sen. MDS bukas. WOW! I wanna. #BakitSiMiriam
58,mfrrosas,MDS @ UPLB <ed><U+00A0><U+00BD><ed><U+00B2><U+0096> https://t.co/1pUX83c7uv
59,ihartceleste,Excited for MDS' UPLB visit tomorrow!!!
60,akirability,UPLB tomorrow for MDS. All the way from my graduation pictorial. <U+263A><U+263A>#BakitSiMiriam @senmiriam
61,missrustia,MDS in UPLB tomorrow <ed><U+00A0><U+00BD><ed><U+00B1><U+008A>
62,deanerenea_,gusto ko bumalik uplb tmrw bc mds but mum  <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>
63,deannamerlaine,Shall go to UPLB for MDS on the 27th <U+2764><U+2764><U+2764>
64,IanChrisLu,"God, preserve this country and begin with me.""- MDS The Forum of Buklod-UPLB <ed><U+00A0><U+00BD><ed><U+00B1><U+008A>April 27 | 3 PM | Baker Hall#BUKLODxMDS
65,YsblDwn,ACADEMIC EXCELLENCE raw sabi ni MDS. Sounds familiar, diba UPLB? Hahahaha <ed><U+00A0><U+00BD><ed><U+00B9><U+0083>
66,Gymbuh,Guys, nakapula si MDS! Parang yung USC ng UPLB at UPD! #PiliPinasDebates2016
67,eveyeveeve,Wed: MDS in UPLBalso,- group presentation in educ 111- final meeting / post-test in pe2wth.
68,cloooyd,MDS @ UPLB next week. Aabsent? Aabsent.
69,maroon_bottom,Omg. MDS will be on UPLB on April 27. South guys, G?
70,kylaxxvii,MDS at UPLB!!!!!! 04.27.16 3pm @ Baker Hall yizzz save the date <ed><U+00A0><U+00BD><ed><U+00B8><U+0084>
71,neilalfonsotb,MDS sa UPLB :(
72,marybethmarini,OMGGGGG MDS AT UPLB!!!!!!!!!!!!!!!!!!!!!!!
73,fayemusss,MDS goes to UPLB!!!!!
74,YzziaCute,Shet. MDS at UPLB on April 27. <ed><U+00A0><U+00BD><ed><U+00B8><U+0080><ed><U+00A0><U+00BD><ed><U+00B8><U+0080><ed><U+00A0><U+00BD><ed><U+00B8><U+0081>
75,edylljoshwa,Shet pupunta si MDS sa UPLB sa 27 eh may work ako nun :'(
76,LGreycf,(c) ""Ano ba talagang kulang? Pangangampanya ni MDS o utak ng pilipinong botante?"" -UPLB stud
77,hyolo927,Hindi ba talaga pupunta sa MDS sa UPLB at UST like most of her supporters are in here X""D
