beorvb,"[PHOTO NOT MINE] Si Jollibee, naki-walkout din. No to contractualization daw. Haha char #UPLBWalkout (hart sakbayan) https://t.co/rcPs37Utb8"
uplbperspective,#UPLBWalkout ends with the singing of UP Naming Mahal.
uplbperspective,NNARA-Youth: Magkita-kita tayo mamayang alas-nuwebe para tumulak sa EDSA bilang paggunita sa ika-30 na anibersaryo ng EDSA 1 #UPLBWalkout
uplbperspective,"Jethro, NNARA Youth: Kahit anong pagpigil ang gawin nila ay 'di nila mapipigilan ang laksa-laksang pagkilos ng kabataan. #UPLBWalkout"
heyitskaaaath,Tibak na din si Jollibee!! #UPLBWalkout
uplbperspective,SAKBAYAN also urges students to join the 1986 People Power Revolution commemoration at EDSA tomorrow. #UPLBWalkout
uplbperspective,SAKABAYAN: Sa walkout sa March 11 iko-commemorate din natin ang pagkamatay ni Kristel Tejada. #UPLBWalkout
uplbperspective,SAKBAYAN: Marapat lamang na magpakilos tayo lalo't ilang buwan na lamang ang natitira sa panunungkulan ni BS Aquino. #UPLBWalkout
itsyvettefriend,"wth, activist na rin si Jollibee <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> ï¾© #UPLBWalkout https://t.co/BzJwPzmaU0"
uplbperspective,"Shaira Cledera, KPL: Hiling ng complainants ng walkout last year na gumawa ng public apology ang mga SC, ipaskil sa buildings. #UPLBWalkout"
uplbperspective,"Umalohokan: Dumalo man o hindi sa walkout na ito, huwag nating hayaan na ang ating pag-aaral ay makasagabal sa ating edukasyon. #UPLBWalkout"
uplbperspective,"Anakbayan: Ang panawagan po namin para sa mga kabataan ay makisama sa paninindigan, lalo ngayong papalapit na ang eleksyon. #UPLBWalkout"
uplbperspective,Another walkout protest would be held on March 11. #UPLBWalkout
uplbperspective,"Papasin, LFS: Ngayong 2016 limang iskolar ng bayan na ang napatay ng estadong ito. #UPLBWalkout"
uplbperspective,#UPLBWalkout now back at Hum bldg steps to continue program. #AyokongMagmahal
uplbperspective,Snake rally now marching to PhySci Bldg. #UPLBWalkout #AyokongMagmahal
LimitlessCha,Salamat sa free cotton candies econ soc! &lt;3 Ang happy magcover ng #UPLBWalkout dahil sa cotton candy na binigay nyo. Hahahaha
uplbperspective,#UPLBWalkout holds cultural program in front of MBLH #AyokongMagmahal https://t.co/oS7cj8aTrh
uplbperspective,#UPLBWalkout now at Math Bldg
uplbperspective,A Jollibee mascot also poses for a photo with #UPLBWalkout after being cheered by students. #AyokongMagmahal
uplbperspective,Snake rally now at CHE. #UPLBWalkout #AyokongMagmahal https://t.co/SDUq2DWM70
uplbperspective,"Papasin from CAS SC urges students to fight for right to organize, explaining org tambayan issues. #UPLBWalkout"
uplbperspective,#UPLBWalkout gets free cotton candy from Econ Soc. https://t.co/kx94hfhKBy
asdfghjanellekl,#AyokoMagmahal #UPLBWalkout
dexkolokoy,anyare sa #UPLBWalkout
uplbperspective,"#UPLBWalkout now at CDC, holds program https://t.co/oN16ciIiO9"
uplbperspective,Snake rally now at CEM #UPLBWalkout https://t.co/DP7cWB2g6p
uplbperspective,#UPLBWalkout now headed to CDC
uplbperspective,"""Ang walkout na ito ay hindi lamang sa UPLB ukng hindi maging sa lahat ng public and private universities."" - Chachi Caneso #UPLBWalkout"
uplbperspective,CSB officer spotted monitoring students as #UPLBWalkout progresses https://t.co/WxzYwmJHEn
uplbperspective,Snake rally now at CAS Annex 2 #UPLBWalkout #AyokongMagmahal
uplbperspective,Other schools and SUCs nationwide also hold protests #UPLBWalkout #AyokongMagmahal
jacquesLB,#AyokongMagmahal #UPLBWalkout
uplbperspective,Snake rally now at NCAS. #UPLBWalkout #AyokongMagmahal https://t.co/7zUaLvIfj4
uplbperspective,More students urged to join not just for UPLB students but also to condemn recent attack on Lumad  #UPLBWalkout https://t.co/e9i6XyyHxF
uplbperspective,"Today is also the death anniversary of Rosanna Sanfuego, a victim of education commercialization. #UPLBWalkout #AyokongMagmahal"
uplbperspective,Students at CPCLH urged to join #UPLBWalkout https://t.co/nFQqLTprl7
uplbperspective,Org tambayan phase out at IBS is also condemned. #UPLBWalkout
uplbperspective,#UPLBWalkout now heading to IBS. #AyokongMagmahal
uplbperspective,Snake rally to begin at IBS  #UPLBWalkout #AyokongMagmahal https://t.co/G4srcbUtLK
uplbperspective,Amongst issues within UPLB are repressive org policies and admin charges against student leaders who organized the #UPLBWalkout last Nov 13.
yasminaguila,"#UPLBWalkout mag walk out tayo mga gurl, boy, beks, and tombs"
uplbperspective,#UPLBWalkout will be held university-wide in protest against the worsening condition of eduction.
czaaczaaa,"Muli, ayoko na. Tama na. #AyokongMagmahal #UPLBWalkout"
uplbperspective,Snake rally to start in a few minutes #UPLBWalkout https://t.co/oE8cYvSNql
czaaczaaa,"Of repression, of commercialization. #AyokongMagmahal #UPLBWalkout"
czaaczaaa,Pagod ka na bang magmahal? Sawa na sa nakakaumay na pagmamahal ng matrikula? Sumama't makiisa! #UPLBWalkout #AyokongMagmahal
kennedylimbo,Muli tayong lumabas sa silid aralan para irehistro ang ating mga panawagan. Sumama sa #UPLBWalkout bukas!
BeyonCesar_,"PAGOD NA AKONG MAGMAHAL! PAGOD NA PAGOD NA AKONG MAGMAHAL ANG TUITION! 

SUMAMA NA SA #UPLBWalkOut!"
